41626.tsv,5
3186.tsv,5
7459.tsv,6
1953.tsv,8
57677.tsv,9
1546.tsv,9
2737.tsv,12
26250.tsv,10
9328.tsv,19
1664.tsv,4
893.tsv,14
999.tsv,10
11756.tsv,4
710.tsv,11
1947.tsv,9
497.tsv,12
885.tsv,12
554.tsv,10
2.tsv,191
25821.tsv,4
13965.tsv,8
2282.tsv,9
2.tsv,123
88.tsv,22
1434.tsv,22
4882.tsv,5
1921.tsv,7
1738.tsv,8
733.tsv,9
348.tsv,14
555.tsv,10
3885.tsv,3
1674.tsv,5
6517.tsv,7
2371.tsv,13
3124.tsv,16
919.tsv,26
1.tsv,107
11.tsv,46
1319.tsv,14
9423.tsv,10
129.tsv,26
7767.tsv,4
1266.tsv,14
384.tsv,15
392.tsv,34
74107.tsv,4
1267.tsv,11
920.tsv,26
47170.tsv,4
1395.tsv,5
25155.tsv,7
16947.tsv,7
16764.tsv,7
11570.tsv,9
647.tsv,10
414.tsv,13
3055.tsv,16
34315.tsv,3
643.tsv,10
31782.tsv,4
25480.tsv,5
20040.tsv,5
20782.tsv,6
127871.tsv,6
2958.tsv,11
9422.tsv,10
37962.tsv,3
7005.tsv,3
38375.tsv,3
9420.tsv,10
24803.tsv,4
15732.tsv,11
1667.tsv,4
4787.tsv,5
1664.tsv,5
18607.tsv,6
31080.tsv,6
3586.tsv,7
46098.tsv,7
1670.tsv,12
401.tsv,14
5624.tsv,19
23028.tsv,5
89432.tsv,7
900.tsv,8
413.tsv,13
5233.tsv,13
9431.tsv,10
141.tsv,21
1019.tsv,25
4124.tsv,4
1397.tsv,5
1508.tsv,5
2152.tsv,5
1176.tsv,6
9425.tsv,10
1660.tsv,4
40688.tsv,6
1061.tsv,7
54.tsv,28
59935.tsv,3
50464.tsv,4
31717.tsv,4
65590.tsv,5
12.tsv,52
17144.tsv,8
412.tsv,13
137.tsv,20
2340.tsv,20
50.tsv,28
1965.tsv,3
26911.tsv,3
1119.tsv,32
1656.tsv,4
28739.tsv,4
458.tsv,44
17227.tsv,5
15614.tsv,5
25715.tsv,5
8476.tsv,6
3.tsv,87
249.tsv,16
1661.tsv,4
1240.tsv,6
1963.tsv,3
2063.tsv,3
31770.tsv,4
