4347.tsv,3
3723.tsv,4
4637.tsv,4
36359.tsv,4
3721.tsv,4
10470.tsv,4
18907.tsv,4
3722.tsv,4
3036.tsv,5
3480.tsv,6
2584.tsv,6
1168.tsv,10
18881.tsv,7
2052.tsv,7
787.tsv,13
3890.tsv,15
97.tsv,30
69.tsv,31
21179.tsv,11
5627.tsv,4
3313.tsv,5
10379.tsv,5
75311.tsv,5
10383.tsv,5
8543.tsv,6
2051.tsv,7
4937.tsv,7
2095.tsv,7
48410.tsv,7
7627.tsv,7
48439.tsv,7
5864.tsv,8
1473.tsv,9
786.tsv,13
788.tsv,13
1092.tsv,15
597.tsv,15
22457.tsv,3
4351.tsv,3
30930.tsv,3
4344.tsv,3
15339.tsv,3
26947.tsv,3
181110.tsv,3
3724.tsv,4
3033.tsv,5
3027.tsv,5
10164.tsv,5
10117.tsv,5
41062.tsv,6
2073.tsv,7
2049.tsv,7
1374.tsv,11
1893.tsv,8
5125.tsv,8
1169.tsv,10
471.tsv,17
464.tsv,17
310.tsv,18
19756.tsv,3
4343.tsv,3
36355.tsv,4
87329.tsv,4
4111.tsv,10
3024.tsv,5
28095.tsv,5
3028.tsv,5
3029.tsv,5
3021.tsv,5
3031.tsv,5
7432.tsv,6
115776.tsv,6
47560.tsv,7
1890.tsv,8
33020.tsv,9
794.tsv,13
665.tsv,14
8171.tsv,17
2756.tsv,23
27192.tsv,10
186078.tsv,3
10319.tsv,3
11830.tsv,3
4733.tsv,4
9967.tsv,4
8710.tsv,4
156984.tsv,4
28945.tsv,4
3719.tsv,4
17454.tsv,4
9959.tsv,4
6292.tsv,6
24363.tsv,7
1886.tsv,8
2143.tsv,8
586.tsv,20
126.tsv,27
89.tsv,29
11078.tsv,3
2800.tsv,10
13229.tsv,3
133.tsv,32
279.tsv,33
3710.tsv,4
83531.tsv,4
9343.tsv,4
4070.tsv,5
9068.tsv,5
5147.tsv,11
77935.tsv,6
11639.tsv,6
2244.tsv,7
1885.tsv,8
38840.tsv,9
31076.tsv,9
1174.tsv,10
1418.tsv,10
259.tsv,21
4327.tsv,3
16596.tsv,3
5293.tsv,3
5271.tsv,3
1557.tsv,10
3800.tsv,4
69673.tsv,4
5435.tsv,4
5436.tsv,4
3355.tsv,5
3013.tsv,5
3922.tsv,5
11062.tsv,5
44005.tsv,6
2549.tsv,6
2551.tsv,6
9079.tsv,6
2973.tsv,7
41067.tsv,7
2047.tsv,7
16536.tsv,7
3535.tsv,8
1369.tsv,11
1882.tsv,8
1465.tsv,9
47852.tsv,12
473.tsv,16
606.tsv,16
590.tsv,17
258.tsv,21
171.tsv,25
339.tsv,28
6448.tsv,3
5626.tsv,3
4323.tsv,3
4324.tsv,3
5770.tsv,3
6445.tsv,3
97253.tsv,4
4802.tsv,4
1528.tsv,11
11472.tsv,4
116472.tsv,4
79229.tsv,4
13637.tsv,4
79211.tsv,4
9195.tsv,4
3704.tsv,4
51276.tsv,4
3705.tsv,4
3706.tsv,4
32438.tsv,4
3708.tsv,4
11336.tsv,5
1370.tsv,11
9984.tsv,5
182283.tsv,5
2833.tsv,6
3141.tsv,6
4990.tsv,6
88916.tsv,6
76730.tsv,7
40294.tsv,7
2242.tsv,7
4312.tsv,11
1920.tsv,8
1496.tsv,10
1878.tsv,9
1464.tsv,9
1054.tsv,12
964.tsv,12
965.tsv,12
1061.tsv,13
676.tsv,14
672.tsv,15
14786.tsv,3
31216.tsv,3
4613.tsv,3
4320.tsv,3
4321.tsv,3
37359.tsv,3
3703.tsv,4
88010.tsv,4
5434.tsv,4
3010.tsv,5
3813.tsv,5
1761.tsv,11
4018.tsv,5
10627.tsv,5
11338.tsv,5
3009.tsv,5
14606.tsv,6
2583.tsv,6
9305.tsv,6
7150.tsv,7
2557.tsv,7
2243.tsv,7
2458.tsv,8
2027.tsv,8
1879.tsv,9
1271.tsv,12
1.tsv,127
2594.tsv,13
5836.tsv,3
5623.tsv,3
4417.tsv,3
4418.tsv,3
52.tsv,38
39244.tsv,4
3701.tsv,4
13957.tsv,4
3702.tsv,4
3782.tsv,4
5266.tsv,4
4069.tsv,4
51346.tsv,4
1483.tsv,11
3700.tsv,4
38469.tsv,5
2622.tsv,6
13005.tsv,6
3103.tsv,6
7538.tsv,6
2873.tsv,6
3187.tsv,6
2559.tsv,7
3653.tsv,7
14771.tsv,8
2080.tsv,9
1551.tsv,10
662.tsv,14
568.tsv,15
568.tsv,17
175.tsv,22
165.tsv,24
149.tsv,25
18793.tsv,3
40911.tsv,3
4804.tsv,3
4318.tsv,3
4319.tsv,3
19618.tsv,4
3005.tsv,5
33022.tsv,5
3345.tsv,5
2545.tsv,6
3184.tsv,6
2542.tsv,6
13002.tsv,6
2379.tsv,8
2318.tsv,8
7229.tsv,9
1943.tsv,9
1930.tsv,9
962.tsv,12
516.tsv,16
567.tsv,17
569.tsv,17
493.tsv,17
372.tsv,18
334.tsv,19
292.tsv,19
137.tsv,27
12394.tsv,3
49312.tsv,3
4316.tsv,3
4468.tsv,3
3904.tsv,11
4798.tsv,4
4804.tsv,4
3004.tsv,5
13693.tsv,5
4370.tsv,5
152003.tsv,5
5497.tsv,5
7832.tsv,5
1366.tsv,11
3039.tsv,6
53758.tsv,7
27711.tsv,11
1814.tsv,10
1697.tsv,12
960.tsv,12
58996.tsv,3
11310.tsv,3
1166.tsv,10
49.tsv,36
3697.tsv,4
34407.tsv,11
31192.tsv,4
18169.tsv,5
5697.tsv,5
112396.tsv,5
62891.tsv,5
18167.tsv,5
3806.tsv,6
2088.tsv,7
2560.tsv,7
30706.tsv,7
20471.tsv,9
7760.tsv,15
137.tsv,26
25527.tsv,3
12407.tsv,3
5844.tsv,3
96.tsv,30
68.tsv,31
3709.tsv,4
36663.tsv,4
3693.tsv,4
25123.tsv,5
20227.tsv,5
3008.tsv,5
29823.tsv,5
2540.tsv,6
22536.tsv,10
21709.tsv,7
2044.tsv,7
1462.tsv,9
554.tsv,15
125.tsv,25
4309.tsv,3
1165.tsv,10
44537.tsv,3
4310.tsv,3
766.tsv,36
109531.tsv,4
3691.tsv,4
83139.tsv,4
6345.tsv,5
2043.tsv,7
2195.tsv,9
22869.tsv,15
472.tsv,16
358.tsv,19
581.tsv,28
23609.tsv,3
1164.tsv,10
199956.tsv,3
11229.tsv,4
4065.tsv,4
3690.tsv,4
5694.tsv,4
56.tsv,45
171882.tsv,5
3001.tsv,5
26941.tsv,5
16836.tsv,5
2831.tsv,6
6351.tsv,6
2042.tsv,7
22629.tsv,8
1938.tsv,9
1289.tsv,15
124.tsv,25
5139.tsv,3
5845.tsv,3
140312.tsv,3
2194.tsv,35
3689.tsv,4
5427.tsv,4
4962.tsv,4
5045.tsv,4
36.tsv,45
21247.tsv,6
2040.tsv,7
1877.tsv,8
63828.tsv,8
38348.tsv,8
1485.tsv,9
2049.tsv,9
956.tsv,12
729.tsv,14
770.tsv,17
308.tsv,18
2381.tsv,18
425.tsv,19
62333.tsv,3
25044.tsv,3
4376.tsv,3
39259.tsv,3
47068.tsv,3
3685.tsv,4
38825.tsv,4
6969.tsv,4
4077.tsv,4
3055.tsv,5
9900.tsv,5
2703.tsv,6
2137.tsv,8
10751.tsv,16
1163.tsv,10
4305.tsv,3
4306.tsv,3
3684.tsv,4
221786.tsv,4
4590.tsv,4
9900.tsv,4
6077.tsv,4
43.tsv,40
14308.tsv,5
11216.tsv,6
4863.tsv,7
1228.tsv,15
105.tsv,28
4907.tsv,3
10618.tsv,3
10844.tsv,3
2999.tsv,5
2025.tsv,14
3482.tsv,16
37407.tsv,3
10939.tsv,3
54645.tsv,4
10267.tsv,5
148147.tsv,5
55447.tsv,6
3794.tsv,6
36130.tsv,6
2067.tsv,7
94841.tsv,7
3166.tsv,8
3167.tsv,8
33070.tsv,8
975.tsv,12
560.tsv,15
2874.tsv,24
104697.tsv,3
6593.tsv,4
3483.tsv,5
2586.tsv,6
7220.tsv,9
4127.tsv,19
4297.tsv,3
